total_units_sold,avg_active_price,fiscal_year_week,fiscal_year,fiscal_week
436,3.99,201501,2015,1
228,3.99,201502,2015,2
461,3.99,201503,2015,3
525,3.99,201504,2015,4
436,3.99,201505,2015,5
377,3.99,201506,2015,6
316,3.99,201507,2015,7
262,3.99,201508,2015,8
220,3.99,201509,2015,9
576,3.99,201510,2015,10
552,3.99,201511,2015,11
219,4.059,201512,2015,12
193,4.067,201513,2015,13
234,4.06,201514,2015,14
605,4.061,201515,2015,15
589,4.065,201516,2015,16
401,4.065,201517,2015,17
253,4.065,201518,2015,18
564,4.063,201519,2015,19
509,4.063,201520,2015,20
302,4.062,201521,2015,21
327,4.065,201522,2015,22
275,4.071,201523,2015,23
314,4.068,201524,2015,24
628,4.064,201525,2015,25
615,4.064,201526,2015,26
281,4.067,201527,2015,27
220,4.062,201528,2015,28
517,4.067,201529,2015,29
477,4.063,201530,2015,30
320,4.063,201531,2015,31
344,4.063,201532,2015,32
1380,4.064,201533,2015,33
1314,4.064,201534,2015,34
319,4.068,201535,2015,35
277,4.068,201536,2015,36
253,4.071,201537,2015,37
286,4.066,201538,2015,38
633,4.067,201539,2015,39
529,4.071,201540,2015,40
237,4.07,201541,2015,41
250,4.068,201542,2015,42
716,4.066,201543,2015,43
638,4.065,201544,2015,44
845,4.062,201545,2015,45
607,4.066,201546,2015,46
607,4.065,201547,2015,47
548,4.065,201548,2015,48
274,4.067,201549,2015,49
294,4.055,201550,2015,50
257,4.067,201551,2015,51
631,4.065,201552,2015,52
497,4.065,201601,2016,1
326,4.058,201602,2016,2
241,4.055,201603,2016,3
544,4.065,201604,2016,4
535,4.062,201605,2016,5
338,4.063,201606,2016,6
502,4.063,201607,2016,7
435,4.063,201608,2016,8
228,4.068,201609,2016,9
827,4.065,201610,2016,10
1014,4.065,201611,2016,11
351,4.07,201612,2016,12
338,4.069,201613,2016,13
328,4.065,201614,2016,14
353,4.067,201615,2016,15
383,4.062,201616,2016,16
334,4.066,201617,2016,17
374,4.062,201618,2016,18
375,4.065,201619,2016,19
375,4.069,201620,2016,20
389,4.066,201621,2016,21
707,4.063,201622,2016,22
308,4.066,201623,2016,23
324,4.069,201624,2016,24
357,4.066,201625,2016,25
303,4.069,201626,2016,26
259,4.066,201627,2016,27
284,4.068,201628,2016,28
306,4.065,201629,2016,29
301,4.075,201630,2016,30
381,4.066,201631,2016,31
366,4.067,201632,2016,32
454,4.064,201633,2016,33
926,4.063,201634,2016,34
250,4.063,201635,2016,35
253,4.063,201636,2016,36
250,4.068,201637,2016,37
242,4.061,201638,2016,38
493,4.063,201639,2016,39
424,4.061,201640,2016,40
246,4.066,201641,2016,41
220,4.063,201642,2016,42
562,4.067,201643,2016,43
550,4.067,201644,2016,44
440,4.066,201645,2016,45
1036,4.062,201646,2016,46
633,4.065,201647,2016,47
595,4.064,201648,2016,48
235,4.063,201649,2016,49
217,4.057,201650,2016,50
235,4.064,201651,2016,51
396,4.065,201652,2016,52
439,4.065,201701,2017,1
218,4.068,201702,2017,2
333,4.071,201703,2017,3
436,4.066,201704,2017,4
459,4.064,201705,2017,5
552,4.064,201706,2017,6
506,4.064,201707,2017,7
495,4.066,201708,2017,8
520,4.062,201709,2017,9
818,4.064,201710,2017,10
1088,4.064,201711,2017,11
274,4.067,201712,2017,12
253,4.065,201713,2017,13
220,4.064,201714,2017,14
476,4.067,201715,2017,15
568,4.068,201716,2017,16
478,4.063,201717,2017,17
381,4.067,201718,2017,18
337,4.07,201719,2017,19
330,4.071,201720,2017,20
565,4.071,201721,2017,21
491,4.069,201722,2017,22
553,4.068,201723,2017,23
371,4.07,201724,2017,24
337,4.068,201725,2017,25
491,4.068,201726,2017,26
272,4.069,201727,2017,27
202,4.068,201728,2017,28
218,4.08,201729,2017,29
239,4.066,201730,2017,30
242,4.07,201731,2017,31
286,4.072,201732,2017,32
550,4.066,201733,2017,33
974,4.067,201734,2017,34
242,4.072,201735,2017,35
232,4.07,201736,2017,36
220,4.062,201737,2017,37
426,4.069,201738,2017,38
479,4.067,201739,2017,39
490,4.07,201740,2017,40
165,4.072,201741,2017,41
246,4.065,201742,2017,42
417,4.063,201743,2017,43
587,4.066,201744,2017,44
504,4.064,201745,2017,45
599,4.065,201746,2017,46
464,4.067,201747,2017,47
268,4.07,201748,2017,48
242,4.061,201749,2017,49
229,4.052,201750,2017,50
486,4.07,201751,2017,51
556,4.063,201752,2017,52
